date,time in,time out,time difference,Work,
2024-08-22 00:00:00,13:15:00,14:00:00,=C2-B2,,
2024-08-23 00:00:00,13:03:00,14:00:00,=C3-B3,,
2024-08-26 00:00:00,13:33:00,14:00:00,=C4-B4,,
2024-08-30 00:00:00,10:00:00,11:00:00,=C5-B5,,
2024-08-30 00:00:00,13:32:00,15:40:00,=C6-B6,,
2024-09-14 00:00:00,10:07:00,13:07:00,=C7-B7,,
2024-09-14 00:00:00,14:13:00,18:00:00,=C8-B8,Reel Shoot,
2024-09-23 00:00:00,19:00:00,20:30:00,=C9-B9,Reel Shoot,
2024-09-24 00:00:00,Present for NAAC,,08:00:00,NAAC,
2024-12-05 00:00:00,09:30:00,11:38:00,=C11-B11,Roboflow,
2024-12-17 00:00:00,13:30:00,14:55:00,=C12-B12,Roboflow,
2024-12-18 00:00:00,01:08:00,01:55:00,=C13-B13,Roboflow,
2024-12-18 00:00:00,13:30:00,15:35:00,=C14-B14,Roboflow,
2024-12-18 00:00:00,11:42:00,12:58:00,=C15-B15,Roboflow,
2024-12-18 00:00:00,13:30:00,15:35:00,=C16-B16,Roboflow,
2024-12-22 00:00:00,08:45:00,09:50:00,=C17-B17,Roboflow,
2024-12-22 00:00:00,15:40:00,17:16:00,=C18-B18,Roboflow,
2024-12-23 00:00:00,11:40:00,12:56:00,=C19-B19,Roboflow,
2024-12-23 00:00:00,10:20:00,11:20:00,=C20-B20,Roboflow,
2024-12-26 00:00:00,10:55:00,15:30:00,=C21-B21,Roboflow,
2024-12-27 00:00:00,09:40:00,15:15:00,=C22-B22,Roboflow,
1900-01-28 00:00:00,09:37:00,15:00:00,=C23-B23,OpenCv,
2024-01-01 00:00:00,17:50:00,18:47:00,=C24-B24,OpenCv,
2024-01-01 00:00:00,20:35:00,22:00:00,=C25-B25,OpenCv,
2024-01-01 00:00:00,23:36:00,"1 day, 0:54:00",=C26-B26,OpenCv,
2024-01-02 00:00:00,09:45:00,12:05:00,=C27-B27,OpenCv,
2024-01-03 00:00:00,22:50:00,"1 day, 0:39:00",=C28-B28,OpenCv,
2025-01-05 00:00:00,00:00:00,02:31:00,=C29-B29,OpenCv,
2025-01-07 00:00:00,09:20:00,10:51:00,=C30-B30,OpenCv,
2025-01-08 00:00:00,12:24:00,12:52:00,=C31-B31,OpenCv,
2025-01-10 00:00:00,01:20:00,03:15:00,=C32-B32,OpenCv,
2025-01-13 00:00:00,01:29:00,01:57:00,=C33-B33,OpenCv,
2025-01-14 00:00:00,07:00:00,10:55:00,=C34-B34,OpenCv,
2025-01-14 00:00:00,03:03:00,05:03:00,=C35-B35,OpenCV till gaussian blur,
2025-01-15 00:00:00,07:28:00,09:09:00,=C36-B36,YOLO,
2025-01-15 00:00:00,10:12:00,10:59:00,=C37-B37,YOLO,
2025-01-16 00:00:00,09:28:00,10:01:00,=C38-B38,YOLO,
2025-01-17 00:00:00,11:26:00,12:40:00,=C39-B39,YOLO,
2025-01-20 00:00:00,07:17:00,09:02:00,=C40-B40,YOLO+Roboflow Integration,
,,,,,
,,,61 hrs,964 minutes,
2025-01-21 00:00:00,06:19:00,07:21:00,=C43-B43,,16 hours 4 mins
2025-01-21 00:00:00,09:51:00,10:51:00,=C44-B44,,
2025-01-22 00:00:00,07:30:00,09:02:00,=C45-B45,,
2025-01-27 00:00:00,07:10:00,09:00:00,=C46-B46,,
2025-01-27 00:00:00,01:30:00,02:06:00,=C47-B47,,
2025-01-28 00:00:00,08:04:00,09:27:00,=C48-B48,,
2025-01-29 00:00:00,13:32:00,14:00:00,=C49-B49,,
2025-01-31 00:00:00,08:20:00,11:05:00,=C50-B50,7hrs 216 mins,
2025-02-03 00:00:00,07:37:00,08:38:00,=C51-B51,,
2025-02-06 00:00:00,07:10:00,09:06:00,=C52-B52,,
